id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
57,58,Jan-LennardStruff,GER,28.0,1990.04.25,2009.0,87.0,196.0,"Right-Handed,Two-Handed",1458.0,749.0,56.0,76.0,49.0,1214.0,61.0,2318.0,79.0,64.0,27.0,48.0,1107.0,38.0,2306.0,18.0,35.0,50.0,3275726,639085.0,80-112,15-20,CarstenArriens,"Warstein,Germany","Warstein,Germany"
58,59,MalekJaziri,TUN,34.0,1984.01.20,2003.0,81.0,185.0,"Right-Handed,Two-Handed",757.0,547.0,54.0,71.0,49.0,1392.0,63.0,2157.0,76.0,61.0,26.0,48.0,1112.0,36.0,2169.0,18.0,35.0,48.0,3030712,617892.0,86-112,18-18,ChristopheFreyss,"Bizerte,Tunisia","Tunis,Tunisia"
59,60,JulienBenneteau,FRA,36.0,1981.12.20,2000.0,79.0,185.0,"Right-Handed,Two-Handed",3289.0,1857.0,64.0,69.0,49.0,3933.0,59.0,6903.0,76.0,62.0,29.0,50.0,3928.0,39.0,6955.0,22.0,37.0,50.0,9445817,422656.0,272-296,7-10,AntoineBenneteau,"Bourg-en-Bresse,France","Boulogne-Billancourt,France"
60,61,TennysSandgren,USA,27.0,1991.07.22,2011.0,87.0,188.0,"Right-Handed,Two-Handed",268.0,85.0,63.0,73.0,48.0,258.0,64.0,453.0,79.0,64.0,27.0,46.0,193.0,41.0,453.0,17.0,34.0,49.0,1158799,668555.0,15-22,13-16,JimMadrigal,"Gallatin,TN,USA","Gallatin,TN,USA"
61,62,DusanLajovic,SRB,28.0,1990.06.30,2007.0,83.0,183.0,"Right-Handed,One-Handed",760.0,368.0,65.0,69.0,52.0,1313.0,61.0,2352.0,78.0,63.0,27.0,48.0,1181.0,39.0,2354.0,20.0,35.0,49.0,2967071,627133.0,92-118,17-19,JosePerlas,"Belgrade,Serbia","StaraPazova,Serbia"
62,63,FelicianoLopez,ESP,36.0,1981.09.20,1997.0,88.0,188.0,"Left-Handed,One-Handed",9091.0,2941.0,59.0,76.0,52.0,5334.0,66.0,11399.0,84.0,66.0,27.0,44.0,5002.0,36.0,11436.0,16.0,33.0,50.0,15635553,669680.0,470-426,18-17,Jose“Pepo”Clavet,"Toledo,Spain","Madrid,Spain"
63,64,TaroDaniel,JPN,25.0,1993.01.27,2010.0,76.0,191.0,"Right-Handed,Two-Handed",248.0,235.0,63.0,66.0,50.0,670.0,61.0,919.0,72.0,60.0,27.0,50.0,523.0,39.0,925.0,22.0,36.0,48.0,1316423,371085.0,33-52,15-13,MitsuruTakada,"NewYork,NY,USA","Bradenton,FL,USA"
64,65,Jo-WilfriedTsonga,FRA,33.0,1985.04.17,2004.0,91.0,188.0,"Right-Handed,Two-Handed",5901.0,1447.0,62.0,78.0,53.0,3055.0,67.0,7807.0,87.0,68.0,29.0,47.0,3996.0,40.0,7727.0,21.0,36.0,52.0,20953134,144517.0,430-197,4-2,ThierryAscione,"LeMans,France","Gingins,Switzerland"
65,66,GuidoPella,ARG,28.0,1990.05.17,2007.0,83.0,185.0,"Left-Handed,Two-Handed",711.0,334.0,65.0,69.0,52.0,1071.0,63.0,1789.0,78.0,63.0,27.0,51.0,979.0,36.0,1791.0,20.0,36.0,50.0,2542432,588418.0,64-81,21-18,GustavoMarcaccio,"BahiaBlanca,Argentina","BuenosAires,Argentina"
66,67,CameronNorrie,GBR,23.0,1995.08.23,2017.0,82.0,188.0,"Left-Handed,Two-Handed",110.0,104.0,63.0,70.0,50.0,190.0,62.0,354.0,80.0,63.0,29.0,46.0,175.0,39.0,355.0,19.0,36.0,49.0,672596,373007.0,16-17,14-13,FacundoLugones,"Johannesburg,SouthAfrica","London,England"
67,68,JoaoSousa,POR,29.0,1989.03.30,2008.0,74.0,185.0,"Right-Handed,Two-Handed",1040.0,690.0,61.0,70.0,49.0,2242.0,59.0,3749.0,75.0,62.0,29.0,48.0,2141.0,38.0,3768.0,22.0,37.0,49.0,5089635,615011.0,162-177,20-20,FredericoMarques,"Guimaraes,Portugal","Barcelona,Spain"
68,69,PabloCuevas,URU,32.0,1986.01.01,2004.0,80.0,180.0,"Right-Handed,One-Handed",1986.0,919.0,60.0,72.0,52.0,2191.0,61.0,4049.0,79.0,64.0,29.0,48.0,2135.0,40.0,4069.0,21.0,37.0,50.0,7513548,588220.0,195-169,17-14,"AlbertoMancini,FacundoSavio","Concordia,Argentina","Salto,Uruguay"
69,70,TomasBerdych,CZE,32.0,1985.09.17,2002.0,91.0,196.0,"Right-Handed,Two-Handed",7036.0,2231.0,58.0,77.0,53.0,4793.0,64.0,11199.0,84.0,67.0,29.0,52.0,6375.0,42.0,11020.0,24.0,38.0,52.0,28931999,711846.0,627-332,11-11,MartinStepanek,"ValasskeMezirici,CZE","MonteCarlo,Monaco"
70,71,MartinKlizan,SVK,29.0,1989.07.11,2007.0,85.0,191.0,"Left-Handed,Two-Handed",1095.0,853.0,58.0,69.0,50.0,1867.0,61.0,2874.0,75.0,61.0,29.0,51.0,1652.0,41.0,2893.0,24.0,37.0,49.0,4649294,369023.0,132-128,15-6,DominikHrbaty,"Bratislava,Slovakia","Bratislava,Slovakia"
